codigo_siniestro,fecha,hora,gravedad,clase,choque_con,objeto_fijo,direccion,total_muertos,total_heridos,localidad,diseno_lugar,corredor,direcc_1,ciudad,pais,ciclista,conductor,motociclista,pasajero,peaton,total_condicion,herido,ileso,muerto,sin_informacion_x,total_estado,femenino,masculino,total_sexo,automovil,bicicleta,bus,buseta,camion_furgon,camioneta,campero,cuatrimoto,microbus,motocarro,motocicleta,motociclo,tractocamion,volqueta,total_clase,diplomatico,oficial,particular,publico,total_servicio,first_codc,codigo_causa,descripcion,direcc_2,direcc_3,direcc_copl,hora_1,lat,lon,year_month,year,month,day,hour,sentido,dia,carga_S/N,accidents_road_1_cl13,accidents_road_1_cl80
4401434,1/03/2015,20:00:00,Con Heridos,Choque,Vehiculo,,AC 13-KR 72 02,0,1,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,0,0,2,1,1,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,2,141,141,VEHICULO MAL ESTACIONADO,72,2,Avenida Calle 13 # 72 02 Bogotá Colombia,6/11/2020 20:00,4.6262505,-74.1054858,2015-03,2015,3,Sunday,20,east_west,Domingo,0,FALSE,FALSE
4401596,1/06/2015,4:20:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 42 02,0,0,Puente Aranda,Interseccion,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,2,142,142,SEMÁFORO EN ROJO,42,2,Avenida Calle 13 # 42 02 Bogotá Colombia,6/11/2020 4:20,4.6262505,-74.1054858,2015-06,2015,6,Monday,4,east_west,Lunes,0,FALSE,FALSE
4401937,1/09/2015,17:10:00,Con Heridos,Atropello,,,AC 13-KR 30 02,0,1,Los Mártires,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,0,1,0,1,2,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,411,411,OTRAS,30,2,Avenida Calle 13 # 30 02 Bogotá Colombia,6/11/2020 17:10,4.6262505,-74.1054858,2015-09,2015,9,Tuesday,17,east_west,Martes,0,FALSE,FALSE
4401889,1/09/2015,12:30:00,Con Heridos,Choque,Vehiculo,,AC 13-KR 96D 90,0,1,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,1,0,3,1,2,0,0,3,1,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,2,103,103,ADELANTAR CERRANDO,96D,90,Avenida Calle 13 # 96D 90 Bogotá Colombia,6/11/2020 12:30,4.6417597,-74.1234951,2015-09,2015,9,Tuesday,12,east_west,Martes,1,FALSE,FALSE
4425439,1/10/2015,14:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 38 02,0,0,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,202,202,FALLAS EN LOS FRENOS,38,2,Avenida Calle 13 # 38 02 Bogotá Colombia,6/11/2020 14:00,4.6262505,-74.1054858,2015-10,2015,10,Thursday,14,east_west,Jueves,1,FALSE,FALSE
4401920,1/11/2015,20:15:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 120 80,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,157,157,OTRA,120,80,Avenida Calle 13 # 120 80 Bogotá Colombia,6/11/2020 20:15,4.6262505,-74.1054858,2015-11,2015,11,Sunday,20,east_west,Domingo,1,FALSE,FALSE
4402068,13/01/2015,9:15:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 45 46,0,0,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,45,46,Avenida Calle 13 # 45 46 Bogotá Colombia,6/11/2020 9:15,4.6262505,-74.1054858,2015-01,2015,1,Tuesday,9,east_west,Martes,0,FALSE,FALSE
4402513,17/01/2015,20:00:00,Con Heridos,Caida de ocupante,,,AC 13-KR 112 02,0,1,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,1,0,2,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,154,154,TRANSITAR CON LAS PUERTAS ABIERTAS,112,2,Avenida Calle 13 # 112 02 Bogotá Colombia,6/11/2020 20:00,4.6262505,-74.1054858,2015-01,2015,1,Saturday,20,east_west,Sabado,0,FALSE,FALSE
4402432,18/01/2015,14:40:00,Solo Daños,Choque,Objeto Fijo,Arbol,AC 13-KR 50 83,0,0,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,308,308,OTRAS,50,83,Avenida Calle 13 # 50 83 Bogotá Colombia,6/11/2020 14:40,4.6390088,-74.1210966,2015-01,2015,1,Sunday,14,west_east,Domingo,0,FALSE,FALSE
4402691,21/01/2015,6:45:00,Con Heridos,Otro,,,AC 13-KR 104 02,0,1,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,1,0,2,1,1,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,506,506,OTRA,104,2,Avenida Calle 13 # 104 02 Bogotá Colombia,6/11/2020 6:45,4.6262505,-74.1054858,2015-01,2015,1,Wednesday,6,east_west,Miercoles,0,FALSE,FALSE
4402894,23/01/2015,21:40:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 32 02,0,0,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,103,103,ADELANTAR CERRANDO,32,2,Avenida Calle 13 # 32 02 Bogotá Colombia,6/11/2020 21:40,4.6032383,-74.0795182,2015-01,2015,1,Friday,21,east_west,Viernes,1,FALSE,FALSE
4403019,25/01/2015,8:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 96 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,96,2,Avenida Calle 13 # 96 02 Bogotá Colombia,6/11/2020 8:00,4.6262505,-74.1054858,2015-01,2015,1,Sunday,8,east_west,Domingo,1,FALSE,FALSE
4403167,26/01/2015,10:30:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 38 02,0,0,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,38,2,Avenida Calle 13 # 38 02 Bogotá Colombia,6/11/2020 10:30,4.6262505,-74.1054858,2015-01,2015,1,Monday,10,east_west,Lunes,0,FALSE,FALSE
4403261,27/01/2015,11:30:00,Con Heridos,Caida de ocupante,,,AC 13-KR 93 02,0,1,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,1,0,2,1,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,157,157,OTRA,93,2,Avenida Calle 13 # 93 02 Bogotá Colombia,6/11/2020 11:30,4.6417597,-74.1234951,2015-01,2015,1,Tuesday,11,east_west,Martes,0,FALSE,FALSE
4403564,29/01/2015,17:30:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 68B 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,103,103,ADELANTAR CERRANDO,68B,2,Avenida Calle 13 # 68B 02 Bogotá Colombia,6/11/2020 17:30,4.6262505,-74.1054858,2015-01,2015,1,Thursday,17,east_west,Jueves,0,FALSE,FALSE
4403434,29/01/2015,12:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 71 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,1,0,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,157,157,OTRA,71,2,Avenida Calle 13 # 71 02 Bogotá Colombia,6/11/2020 12:00,4.6262505,-74.1054858,2015-01,2015,1,Thursday,12,east_west,Jueves,0,FALSE,FALSE
4403656,31/01/2015,10:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 24 02,0,0,Los Mártires,Interseccion,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,157,157,OTRA,24,2,Avenida Calle 13 # 24 02 Bogotá Colombia,6/11/2020 10:00,4.6262505,-74.1054858,2015-01,2015,1,Saturday,10,east_west,Sabado,1,FALSE,FALSE
4403532,2/01/2015,20:45:00,Con Heridos,Choque,Vehiculo,,AC 13-KR 120 02,0,1,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,1,0,3,1,2,0,0,3,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,120,2,Avenida Calle 13 # 120 02 Bogotá Colombia,6/11/2020 20:45,4.6262505,-74.1054858,2015-01,2015,1,Friday,20,east_west,Viernes,0,FALSE,FALSE
4403872,2/04/2015,9:20:00,Con Muertos,Atropello,,,AC 13-KR 80A 83,1,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,0,1,2,0,1,1,0,2,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,411,411,OTRAS,80A,83,Avenida Calle 13 # 80A 83 Bogotá Colombia,6/11/2020 9:20,4.62344,-74.1019613,2015-04,2015,4,Thursday,9,west_east,Jueves,0,FALSE,FALSE
4404389,2/06/2015,7:20:00,Con Heridos,Choque,Vehiculo,,AC 13-KR 46 09,0,1,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,0,2,0,0,2,1,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,2,157,157,OTRA,46,9,Avenida Calle 13 # 46 09 Bogotá Colombia,6/11/2020 7:20,4.6417597,-74.1234951,2015-06,2015,6,Tuesday,7,west_east,Martes,0,FALSE,FALSE
4404345,2/06/2015,19:20:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 72 02,0,0,Fontibón,Paso elevado,Calle 13,Calle 13,Bogotá,Colombia,0,2,1,0,0,3,0,3,0,0,3,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,2,1,3,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,72,2,Avenida Calle 13 # 72 02 Bogotá Colombia,6/11/2020 19:20,4.6262505,-74.1054858,2015-06,2015,6,Tuesday,19,east_west,Martes,1,FALSE,FALSE
4404312,2/08/2015,18:40:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 124 81,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,124,81,Avenida Calle 13 # 124 81 Bogotá Colombia,6/11/2020 18:40,4.6262505,-74.1054858,2015-08,2015,8,Sunday,18,west_east,Domingo,0,FALSE,FALSE
4404321,2/08/2015,15:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 72 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,106,106,ADELANTAR INVADIENDO CARRIL DEL MISMO SENTIDO EN ZIG-ZAG,72,2,Avenida Calle 13 # 72 02 Bogotá Colombia,6/11/2020 15:00,4.6262505,-74.1054858,2015-08,2015,8,Sunday,15,east_west,Domingo,0,FALSE,FALSE
4404397,2/09/2015,11:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 137 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,3,0,0,0,3,0,3,0,0,3,0,3,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3,0,0,0,3,3,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,137,2,Avenida Calle 13 # 137 02 Bogotá Colombia,6/11/2020 11:00,4.6262505,-74.1054858,2015-09,2015,9,Wednesday,11,east_west,Miercoles,1,FALSE,FALSE
4404565,2/11/2015,6:50:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 65A 02,0,0,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,2,98,98,TRANSITAR ENTRE VEHICULOS,65A,2,Avenida Calle 13 # 65A 02 Bogotá Colombia,6/11/2020 6:50,4.6262505,-74.1054858,2015-11,2015,11,Monday,6,east_west,Lunes,0,FALSE,FALSE
4404826,13/02/2015,10:30:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 128 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,128,2,Avenida Calle 13 # 128 02 Bogotá Colombia,6/11/2020 10:30,4.6262505,-74.1054858,2015-02,2015,2,Friday,10,east_west,Viernes,1,FALSE,FALSE
4404933,14/02/2015,8:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 72 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,3,0,0,0,3,0,3,0,0,3,0,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,3,3,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,72,2,Avenida Calle 13 # 72 02 Bogotá Colombia,6/11/2020 8:00,4.6262505,-74.1054858,2015-02,2015,2,Saturday,8,east_west,Sabado,1,FALSE,FALSE
4405082,14/02/2015,16:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 9 02,0,0,La Candelaria,Interseccion,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,157,157,OTRA,9,2,Avenida Calle 13 # 9 02 Bogotá Colombia,6/11/2020 16:00,4.6417597,-74.1234951,2015-02,2015,2,Saturday,16,east_west,Sabado,0,FALSE,FALSE
4404699,14/02/2015,6:10:00,Con Heridos,Atropello,,,AC 13-KR 106 02,0,1,Fontibón,Interseccion,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,0,1,2,1,1,0,0,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,401,401,PASAR SEMAFORO EN ROJO,106,2,Avenida Calle 13 # 106 02 Bogotá Colombia,6/11/2020 6:10,4.6262505,-74.1054858,2015-02,2015,2,Saturday,6,east_west,Sabado,0,FALSE,FALSE
4405763,21/02/2015,6:20:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 69B 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,69B,2,Avenida Calle 13 # 69B 02 Bogotá Colombia,6/11/2020 6:20,4.6262505,-74.1054858,2015-02,2015,2,Saturday,6,east_west,Sabado,0,FALSE,FALSE
4405375,21/02/2015,7:05:00,Con Heridos,Choque,Vehiculo,,AC 13-KR 43 02,0,1,Puente Aranda,Interseccion,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,0,0,2,1,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,2,122,122,GIRAR BRUSCAMENTE,43,2,Avenida Calle 13 # 43 02 Bogotá Colombia,6/11/2020 7:05,4.6262505,-74.1054858,2015-02,2015,2,Saturday,7,east_west,Sabado,1,FALSE,FALSE
4405819,23/02/2015,14:55:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 126 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,126,2,Avenida Calle 13 # 126 02 Bogotá Colombia,6/11/2020 14:55,4.6262505,-74.1054858,2015-02,2015,2,Monday,14,east_west,Lunes,1,FALSE,FALSE
4405880,23/02/2015,12:10:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 100 70,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,2,157,157,OTRA,100,70,Avenida Calle 13 # 100 70 Bogotá Colombia,6/11/2020 12:10,4.6262505,-74.1054858,2015-02,2015,2,Monday,12,east_west,Lunes,1,FALSE,FALSE
4405988,24/02/2015,6:00:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 100 78,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,2,103,103,ADELANTAR CERRANDO,100,78,Avenida Calle 13 # 100 78 Bogotá Colombia,6/11/2020 6:00,4.6262505,-74.1054858,2015-02,2015,2,Tuesday,6,east_west,Martes,0,FALSE,FALSE
4406268,26/02/2015,13:55:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 13 02,0,0,Los Mártires,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,157,157,OTRA,13,2,Avenida Calle 13 # 13 02 Bogotá Colombia,6/11/2020 13:55,4.6262505,-74.1054858,2015-02,2015,2,Thursday,13,east_west,Jueves,1,FALSE,FALSE
4406224,27/02/2015,8:30:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 72 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,72,2,Avenida Calle 13 # 72 02 Bogotá Colombia,6/11/2020 8:30,4.6262505,-74.1054858,2015-02,2015,2,Friday,8,east_west,Viernes,0,FALSE,FALSE
4405963,27/02/2015,15:25:00,Con Muertos,Choque,Vehiculo,,AC 13-KR 22 72,1,0,Los Mártires,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,1,1,0,0,0,2,0,1,1,0,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,142,142,SEMÁFORO EN ROJO,22,72,Avenida Calle 13 # 22 72 Bogotá Colombia,6/11/2020 15:25,4.6262505,-74.1054858,2015-02,2015,2,Friday,15,east_west,Viernes,0,FALSE,FALSE
4406222,27/02/2015,6:15:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 69 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,2,103,103,ADELANTAR CERRANDO,69,2,Avenida Calle 13 # 69 02 Bogotá Colombia,6/11/2020 6:15,4.6262505,-74.1054858,2015-02,2015,2,Friday,6,east_west,Viernes,1,FALSE,FALSE
4406180,3/02/2015,18:12:00,Con Heridos,Atropello,,,AC 13-KR 32 02,0,1,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,0,1,2,1,1,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,411,411,OTRAS,32,2,Avenida Calle 13 # 32 02 Bogotá Colombia,6/11/2020 18:12,4.6032383,-74.0795182,2015-02,2015,2,Tuesday,18,east_west,Martes,0,FALSE,FALSE
4406551,3/02/2015,13:55:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 137 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,0,0,2,0,2,0,0,2,0,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,137,2,Avenida Calle 13 # 137 02 Bogotá Colombia,6/11/2020 13:55,4.6262505,-74.1054858,2015-02,2015,2,Tuesday,13,east_west,Martes,0,FALSE,FALSE
4406555,3/02/2015,7:05:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 129 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,129,2,Avenida Calle 13 # 129 02 Bogotá Colombia,6/11/2020 7:05,4.6262505,-74.1054858,2015-02,2015,2,Tuesday,7,east_west,Martes,0,FALSE,FALSE
4406689,3/03/2015,12:55:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 68D 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,3,0,0,0,3,0,3,0,0,3,0,3,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,1,2,3,,,,68D,2,Avenida Calle 13 # 68D 02 Bogotá Colombia,6/11/2020 12:55,4.6262505,-74.1054858,2015-03,2015,3,Tuesday,12,east_west,Martes,1,FALSE,FALSE
4406300,3/03/2015,7:20:00,Con Heridos,Choque,Vehiculo,,AC 13-KR 67A 02,0,1,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,1,1,0,0,0,2,1,1,0,0,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,103,103,ADELANTAR CERRANDO,67A,2,Avenida Calle 13 # 67A 02 Bogotá Colombia,6/11/2020 7:20,4.6262505,-74.1054858,2015-03,2015,3,Tuesday,7,east_west,Martes,0,FALSE,FALSE
4406624,3/05/2015,7:00:00,Con Heridos,Caida de ocupante,,,AC 13-KR 104 02,0,1,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,1,0,2,1,1,0,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,157,157,OTRA,104,2,Avenida Calle 13 # 104 02 Bogotá Colombia,6/11/2020 7:00,4.6262505,-74.1054858,2015-05,2015,5,Sunday,7,east_west,Domingo,0,FALSE,FALSE
4406582,3/05/2015,21:30:00,Con Heridos,Choque,Vehiculo,,AC 13-KR 47 02,0,1,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,1,0,0,2,1,1,0,0,2,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,2,0,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,47,2,Avenida Calle 13 # 47 02 Bogotá Colombia,6/11/2020 21:30,4.6262505,-74.1054858,2015-05,2015,5,Sunday,21,east_west,Domingo,1,FALSE,FALSE
4406738,3/06/2015,13:05:00,Con Heridos,Atropello,,,AC 13-KR 38 02,0,1,Puente Aranda,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,1,0,0,1,2,1,1,0,0,2,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,409,409,CRUZAR SIN OBSERVAR,38,2,Avenida Calle 13 # 38 02 Bogotá Colombia,6/11/2020 13:05,4.6262505,-74.1054858,2015-06,2015,6,Wednesday,13,east_west,Miercoles,0,FALSE,FALSE
4406777,3/06/2015,21:40:00,Con Heridos,Choque,Vehiculo,,AC 13-KR 96B 02,0,1,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,1,0,1,0,0,2,1,1,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,96B,2,Avenida Calle 13 # 96B 02 Bogotá Colombia,6/11/2020 21:40,4.6262505,-74.1054858,2015-06,2015,6,Wednesday,21,east_west,Miercoles,0,FALSE,FALSE
4407026,3/07/2015,16:40:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 128 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,128,2,Avenida Calle 13 # 128 02 Bogotá Colombia,6/11/2020 16:40,4.6262505,-74.1054858,2015-07,2015,7,Friday,16,east_west,Viernes,0,FALSE,FALSE
4407030,3/07/2015,9:10:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 72 02,0,0,Fontibón,Tramo de Via,Calle 13,Calle 13,Bogotá,Colombia,0,2,0,0,0,2,0,2,0,0,2,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,2,121,121,NO MANTENER DISTANCIA DE SEGURIDAD,72,2,Avenida Calle 13 # 72 02 Bogotá Colombia,6/11/2020 9:10,4.6262505,-74.1054858,2015-07,2015,7,Friday,9,east_west,Viernes,0,FALSE,FALSE
4407365,3/12/2015,5:45:00,Solo Daños,Choque,Vehiculo,,AC 13-KR 68 02,0,0,Fontibón,Paso elevado,Calle 13,Calle 13,Bogotá,Colombia,0,3,0,0,0,3,0,3,0,0,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,143,143,PONER EN MARCHA UN VEHICULO SIN PRECAUCIONES,68,2,Avenida Calle 13 # 68 02 Bogotá Colombia,6/11/2020 5:45,4.6262505,-74.1054858,2015-12,2015,12,Thursday,5,east_west,Jueves,0,FALSE,FALSE
